,ScorePerSentence
1093,28.3624
1094,54.7518
1095,6.5673
1096,11.3061
1097,16.2008
1098,39.3789
1099,26.3808
1100,39.3949
1101,47.7527
1102,46.6823
1103,38.6807
1104,42.9272
1105,87.8742
1106,41.2491
1107,18.4769
1108,84.3417
1109,25.8205
1110,39.3756
1111,46.5758
1112,21.8741
1113,12.0392
1114,42.7287
1115,22.4576
1116,49.5004
1117,28.6334
1118,38.8694
1119,78.8193
1120,61.6819
1121,13.4851
1122,47.1837
1123,24.6898
1124,25.1095
1125,23.8015
1126,19.6922
1127,36.2787
1128,100.0
1129,57.7558
1130,36.4475
1131,38.2995
1132,66.0372
1133,64.4765
1134,39.4232
1135,4.0626
1136,8.3552
1137,15.3413
1138,72.091
1139,100.0
1140,17.5847
1141,27.487
1142,50.4509
1143,62.0814
1144,42.3302
1145,51.602
1146,72.8282
1147,56.0199
1148,48.8923
1149,38.4028
1150,55.345
1151,59.9937
1152,5.3002
1153,16.8304
1154,27.2259
1155,80.3226
1156,40.2107
1157,13.5404
1158,50.4049
1159,51.2309
1160,25.3365
1161,50.2128
1162,76.0432
1163,22.5426
1164,11.0448
1165,42.8613
1166,31.013
1167,30.2222
1168,33.8456
1169,69.1884
1170,51.9307
1171,32.5963
1172,60.3272
1173,49.3143
1174,42.3872
1175,65.1692
1176,21.4032
1177,51.1699
1178,20.8122
1179,26.2891
1180,17.3009
1181,34.5316
1182,10.3532
1183,38.8542
1184,41.6025
1185,15.3965
1186,17.4698
1187,49.3435
1188,53.8772
1189,61.418
1190,73.3779
1191,34.3154
1192,34.3001
1193,84.9233
1194,19.5173
1195,8.8892
1196,40.6946
1197,17.0969
1198,10.3576
1199,32.3772
1200,28.5384
1201,28.0934
1202,2.8666
1203,56.8285
1204,18.6005
1205,38.2519
1206,30.1434
1207,49.2027
1208,18.3256
1209,22.6992
1210,42.8545
1211,40.6304
1212,60.9714
1213,59.6741
1214,37.2741
1215,35.2573
1216,48.2067
1217,17.7474
1218,23.9462
1219,40.9781
1220,33.6113
1221,42.2494
1222,27.659
1223,54.3851
1224,32.0818
1225,21.762
1226,11.5809
1227,32.3772
1228,51.5223
1229,37.9202
1230,23.7286
1231,51.6104
1232,50.408
1233,72.5276
1234,27.2259
1235,54.7808
1236,55.4262
1237,19.2685
1238,70.5136
1239,19.1041
1240,42.6108
1241,13.2445
1242,55.3662
1243,76.1656
1244,41.1255
1245,28.3502
1246,40.0534
1247,3.2526
1248,37.9751
1249,51.2837
1250,55.1745
1251,23.2568
1252,55.9817
1253,53.603
1254,47.4081
1255,36.3759
1256,45.4401
1257,62.3163
1258,21.2026
1259,36.1465
1260,8.8394
1261,53.8693
1262,28.5744
1263,39.0877
1264,25.9182
1265,17.7601
1266,44.4014
1267,24.714
1268,23.0374
1269,31.7012
1270,37.9063
1271,15.8213
1272,19.9044
1273,43.3067
1274,15.1226
1275,37.3791
1276,35.0844
1277,11.6317
1278,50.7443
1279,26.3212
1280,25.5904
1281,39.8763
1282,35.273
1283,45.7186
1284,26.5312
1285,31.8727
1286,13.5599
1287,61.6036
1288,33.8871
1289,26.4611
1290,4.1961
1291,52.4736
1292,5.3002
1293,39.7635
1294,17.5911
1295,10.7537
1296,12.5008
1297,42.7287
1298,31.9784
1299,52.8979
1300,53.1073
1301,50.7645
1302,52.5382
1303,100.0
1304,5.8971
1305,100.0
1306,53.9944
1307,16.5904
1308,53.3807
1309,63.1197
1310,43.3321
1311,43.5429
1312,20.4702
1313,44.0331
1314,41.1055
1315,83.9433
1316,15.9736
1317,41.0652
1318,65.8037
1319,65.3363
1320,42.9514
1321,11.3266
1322,48.2024
1323,41.9313
1324,48.066
1325,72.4158
1326,67.1688
1327,15.1226
1328,76.1161
1329,48.2772
1330,100.0
1331,18.5751
1332,21.3971
1333,32.5948
1334,35.3258
1335,9.3869
1336,67.0016
1337,18.8859
1338,48.3347
1339,47.7515
1340,21.2099
1341,26.8788
1342,53.3988
1343,26.7768
1344,37.3887
1345,43.7883
1346,11.8024
1347,27.8684
1348,25.0137
1349,26.2691
1350,48.1509
1351,27.4648
1352,80.9643
1353,73.4889
1354,28.5737
1355,54.818
1356,39.7368
1357,16.5425
1358,42.4473
1359,43.3118
1360,6.2338
1361,14.7474
1362,22.6226
1363,26.4829
1364,7.761
1365,17.8942
1366,17.1247
1367,10.5527
1368,31.2085
1369,13.521
1370,12.1243
1371,57.8357
1372,5.1377
1373,24.9481
1374,53.7285
1375,17.4928
1376,25.3365
1377,41.1972
1378,41.3485
1379,24.9417
1380,67.3905
1381,11.2513
1382,19.3049
1383,100.0
1384,40.016
1385,24.74
1386,45.4802
1387,28.8801
1388,67.0342
1389,38.1371
1390,8.643
1391,34.5721
1392,5.6698
1393,31.7023
1394,5.0912
1395,16.7387
1396,38.5032
1397,9.9326
1398,49.5024
1399,35.187
1400,17.695
1401,29.7746
1402,33.5199
